YearM,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
201405,0,0.0206,0.01756246,0.035132459,0.0114,0.002761579,0.0096,-0.0018,0.027587589,0.009229783
201406,0,0.0261,0.009949704,0.027021288,0.0005,0.011631306,0.0085,0.0212,0.011782816,0.013016198
201407,0,-0.0204,-0.019577266,0.020157324,-0.0025,-0.012303621,-0.0133,-0.053,-0.001903194,-0.006263724
201408,0,0.0424,-0.001451835,0.022935241,0.011,0.002201897,0.0151,-0.0164,0.033810945,0.012455161
201409,0,-0.0197,-0.038102936,-0.073915337,-0.0068,-0.043679998,-0.0207,-0.0602,-0.056340353,-0.009205483
201410,0,0.0252,-0.014487584,0.011906758,0.0098,-0.007695521,0.0116,-0.0598,0.087239293,-0.003997642
201411,0,0.0255,0.013722224,-0.010517321,0.0071,-0.014506598,-0.0075,-0.1092,0.022978286,0.007829039
201412,0,-0.0006,-0.034378461,-0.045614591,0.0009,-0.009052227,-0.0145,-0.1363,0.010913986,-0.002331832
201501,0,-0.0311,0.004976962,0.006075932,0.021,-0.010229119,0.0068,-0.075,0.055948228,-0.000437184
201502,0,0.0613,0.059892791,0.031083704,-0.0094,-0.010586087,0.0234,0.0647,-0.025806389,0.018778927
201503,0,-0.0112,-0.014281407,-0.01402008,0.0046,-0.016590767,-0.0049,-0.0681,0.011501931,0.00369462
201504,0,0.0059,0.041633733,0.077165927,-0.0036,0.017696982,0.0121,0.1106,-0.047102675,0.009510943
201505,0,0.0136,-0.003970496,-0.03985235,-0.0024,-0.032572695,0.0028,-0.0199,-0.001139535,0.005877217
201506,0,-0.0153,-0.028048317,-0.025209732,-0.0109,0.000891742,-0.0151,-0.0011,-0.043186055,-0.012297037
201507,0,0.0154,0.0208,-0.068704163,0.007,-0.0000821,-0.0059,-0.141,0.048548103,-0.00510509
201508,0,-0.0604,-0.073457244,-0.090098804,-0.0014,0.005276243,-0.0176,0.003,-0.056764931,-0.023869953
201509,0,-0.0308,-0.050415831,-0.029726863,0.0068,0.008474149,-0.0259,-0.0633,0.018747207,-0.013836613
201510,0,0.0775,0.078230967,0.071401814,0.0002,0.002919316,0.0275,0.0023,0.06142785,0.017299591
201511,0,0.0056,-0.015438644,-0.038939965,-0.0026,-0.027145869,-0.0222,-0.0897,-0.002580597,0.001564707
201512,0,-0.0217,-0.013390109,-0.021825115,-0.0033,0.013758053,-0.0256,-0.0864,0.011842045,-0.011629834
201601,0,-0.0577,-0.072320224,-0.064918179,0.0137,0.007920696,-0.0161,-0.0518,-0.034888392,-0.026053014
201602,0,-0.0007,-0.018172608,-0.0017261,0.0069,0.041910612,0.0048,-0.0203,-0.003073961,-0.000533548
201603,0,0.0696,0.065740269,0.132376059,0.009,0.036573717,0.0437,0.0491,0.099688877,0.020584692
201604,0,0.0092,0.029945811,0.00553443,0.0037,0.023113295,0.0394,0.1013,-0.016749565,0.010167169
201605,0,0.0178,-0.007936055,-0.037204764,0.0002,-0.023868468,0.0067,0.0221,0.023288123,0.003576554
201606,0,-0.0005,-0.033351085,0.040750434,0.0178,0.048753748,0.0105,0.0006,0.066641623,0.003896937
201607,0,0.0395,0.050561653,0.050698358,0.0061,0.004876049,0.025,-0.0959,0.038519135,0.018593475
201608,0,0.005,0.00063871,0.024984474,-0.0013,-0.010487653,0.0223,0.0175,-0.033016844,0.004075057
201609,0,0.0025,0.012536312,0.012955869,-0.0008,0.011149179,0.0063,0.0412,-0.014295803,0.006267468
201610,0,-0.0202,-0.020583635,0.002271994,-0.0078,-0.046063026,0.0028,-0.0152,-0.049101313,-0.006146935
201611,0,0.0486,-0.019897125,-0.046069814,-0.0238,-0.058545101,-0.0041,0.0252,-0.020512655,0.007559125
201612,0,0.0182,0.034083274,0.002599726,0.0011,-0.012554798,0.0192,0.0469,0.041709041,0.009763559
